Angle0 Angle1 Angle2 Angle3 Angle4 Angle5 Bond0 Bond1 Bond2 Bond3
 57.6 84.6 106.0 115.2 138.5 154.9 1.01603 1.05064 1.08992 1.29431
 57.1 84.7 106.4 115.0 138.3 155.8 1.00488 1.06576 1.07042 1.27593
 56.6 84.7 106.7 114.9 138.1 156.6 0.99724 1.05132 1.08182 1.25654
 56.1 84.8 106.9 114.8 137.9 157.3 0.99340 1.03314 1.09839 1.23633
 55.7 84.9 107.1 114.7 137.7 157.9 0.99350 1.01641 1.11503 1.21552
 55.3 84.9 107.3 114.6 137.6 158.5 0.99754 1.00167 1.13136 1.19436
 54.9 85.0 107.5 114.5 137.4 158.9 0.98947 1.00539 1.14700 1.17312
 54.5 85.1 107.6 114.5 137.2 159.3 0.98031 1.01675 1.15210 1.16165
 54.2 85.2 107.6 114.5 137.1 159.6 0.97458 1.03125 1.13163 1.17504
 54.0 85.2 107.7 114.4 136.9 159.8 0.97256 1.04845 1.11205 1.18692
 53.7 85.3 107.7 114.4 136.8 160.0 0.97439 1.06787 1.09374 1.19710
 53.5 85.3 107.7 114.5 136.6 160.1 0.98004 1.07707 1.08901 1.20542
 53.3 85.3 107.7 114.5 136.5 160.2 0.98930 1.06241 1.11143 1.21176
 53.2 85.2 107.6 114.5 136.3 160.3 1.00186 1.05011 1.13468 1.21601
 53.1 85.2 107.5 114.6 136.2 160.3 1.01726 1.04048 1.15838 1.21811
 53.0 85.1 107.4 114.6 136.0 160.2 1.03377 1.03502 1.18219 1.21803
 52.9 84.9 107.3 114.7 135.8 160.2 1.03016 1.05460 1.20580 1.21575
 52.9 84.8 107.2 114.8 135.6 160.0 1.02974 1.07544 1.21132 1.22895
 52.8 84.6 107.1 114.9 135.4 159.9 1.03248 1.09706 1.20477 1.25143
 52.8 84.5 106.9 115.1 135.2 159.7 1.03829 1.11896 1.19620 1.27303
 52.7 84.3 106.7 115.2 135.0 159.4 1.04696 1.14073 1.18573 1.29360
 52.7 84.1 106.5 115.4 134.8 159.1 1.05819 1.16199 1.17352 1.31300
 52.6 84.0 106.3 115.6 134.5 158.8 1.07166 1.15977 1.18242 1.33111
 52.6 83.8 106.1 115.8 134.3 158.4 1.08697 1.14470 1.20172 1.34782
 52.5 83.7 105.8 116.0 134.1 157.9 1.10373 1.12860 1.21967 1.36306
 52.4 83.6 105.5 116.2 133.8 157.4 1.11178 1.12154 1.23606 1.37676
 52.2 83.5 105.2 116.5 133.6 156.9 1.09460 1.13999 1.25072 1.38886
 52.1 83.5 104.8 116.7 133.3 156.2 1.07746 1.15874 1.26350 1.39932
 51.9 83.4 104.4 117.0 133.0 155.6 1.06080 1.17743 1.27427 1.40809
 51.7 83.4 104.0 117.3 132.8 154.8 1.04507 1.19576 1.28294 1.41515
 51.5 83.5 103.6 117.5 132.5 154.0 1.03076 1.21348 1.28940 1.42048
 51.2 83.6 103.1 117.8 132.3 153.2 1.01833 1.23033 1.29360 1.42408
 50.9 83.7 102.6 118.1 132.1 152.2 1.00822 1.24614 1.29547 1.42594
 50.6 83.9 102.0 118.4 131.8 151.2 1.00080 1.26074 1.29496 1.42607
 50.2 84.1 101.4 118.7 131.6 150.2 0.99638 1.27401 1.29207 1.42448
 49.8 84.3 100.8 119.0 131.4 149.1 0.99513 1.28588 1.28677 1.42120
 49.4 84.6 100.2 119.3 131.2 148.0 0.99712 1.27908 1.29627 1.41626
 48.9 85.0 99.5 119.6 131.0 146.8 1.00228 1.26904 1.30519 1.40971
 48.4 85.4 98.9 119.9 130.7 145.6 1.01043 1.25670 1.31262 1.40160
 47.8 85.8 98.2 120.1 130.5 144.3 1.02126 1.24216 1.31861 1.39198
 47.2 86.3 97.6 120.3 130.3 143.0 1.03441 1.22553 1.32320 1.38093
 46.5 86.9 97.0 120.5 130.1 141.7 1.04945 1.20697 1.32647 1.36853
 45.8 87.5 96.4 120.7 129.8 140.4 1.06591 1.18667 1.32850 1.35487
 45.0 88.1 95.8 120.9 129.5 139.0 1.08334 1.16487 1.32939 1.34006
 44.2 88.7 95.2 121.0 129.2 137.7 1.10128 1.14187 1.32420 1.32924
 43.3 89.4 94.7 121.1 128.9 136.3 1.11803 1.11931 1.30744 1.32816
 42.5 90.1 94.1 121.2 128.6 134.9 1.09377 1.13705 1.28991 1.32627
 41.5 90.8 93.6 121.3 128.3 133.6 1.06959 1.15414 1.27179 1.32371
 40.6 91.5 93.2 121.3 127.9 132.2 1.04606 1.17028 1.25325 1.32059
 39.6 92.3 92.7 121.4 127.5 130.9 1.02380 1.18519 1.23450 1.31706
 38.7 92.3 93.0 121.3 127.1 129.6 1.00350 1.19862 1.21574 1.31327
 37.8 91.8 93.6 121.3 126.7 128.3 0.98586 1.19722 1.21039 1.30936
 37.0 91.3 94.2 121.3 126.3 127.1 0.97155 1.17915 1.22032 1.30549
 36.3 90.8 94.8 121.2 125.9 126.0 0.96115 1.16180 1.22827 1.30180
 35.7 90.3 95.3 121.2 124.9 125.7 0.95513 1.14539 1.23415 1.29846
 35.3 89.7 95.7 121.1 123.9 125.4 0.95374 1.13019 1.23787 1.29560
 35.1 89.0 96.0 121.0 123.0 125.1 0.95704 1.11643 1.23942 1.29334
 35.1 88.2 96.2 121.0 122.3 125.0 0.96486 1.10437 1.23878 1.29175
 35.2 87.3 96.4 120.9 121.6 124.9 0.97681 1.09424 1.23599 1.29087
 35.6 86.3 96.4 120.8 121.1 124.9 0.99235 1.08629 1.23111 1.29070
 36.2 85.2 96.4 120.6 120.8 124.9 1.01084 1.08072 1.22422 1.29116
 37.0 84.0 96.3 120.2 120.8 125.0 1.03157 1.07770 1.21546 1.29213
 37.9 82.7 96.1 119.9 120.7 125.2 1.05385 1.07735 1.20494 1.29349
 39.0 81.4 95.9 119.6 120.7 125.3 1.07700 1.07973 1.19286 1.29505
 40.1 80.0 95.7 119.4 120.7 125.6 1.08481 1.10044 1.17940 1.29663
 41.3 78.6 95.4 119.2 120.8 125.8 1.09247 1.12362 1.16478 1.29806
 42.5 77.2 95.2 119.1 120.8 126.1 1.10255 1.14609 1.14926 1.29915
 43.8 75.8 94.9 118.9 120.8 126.3 1.11481 1.13310 1.16747 1.29973
 45.0 74.4 94.7 118.8 120.8 126.6 1.11662 1.12895 1.18744 1.29966
 46.3 73.1 94.4 118.8 120.9 126.8 1.10016 1.14469 1.20575 1.29881
 47.5 71.8 94.2 118.7 120.9 127.1 1.08407 1.16168 1.22219 1.29705
 48.6 70.6 94.0 118.7 120.9 127.3 1.06873 1.17963 1.23659 1.29429
 49.7 69.5 93.9 118.7 120.9 127.5 1.05453 1.19821 1.24884 1.29045
 50.8 68.4 93.8 118.7 120.9 127.7 1.04187 1.21715 1.25882 1.28548
 51.7 67.5 93.7 118.7 120.8 127.9 1.03110 1.23618 1.26648 1.27931
 52.7 66.6 93.6 118.8 120.8 128.1 1.02256 1.25507 1.27177 1.27194
 53.6 65.8 93.7 118.9 120.7 128.2 1.01653 1.26336 1.27361 1.27466
 54.4 65.1 93.7 119.1 120.6 128.4 1.01321 1.25359 1.27515 1.29160
 55.2 64.5 93.8 119.4 120.4 128.5 1.01272 1.24265 1.27327 1.30889
 56.0 64.0 94.0 119.6 120.2 128.6 1.01507 1.23063 1.26903 1.32534
 56.7 63.6 94.2 120.0 120.0 128.7 1.02019 1.21758 1.26251 1.34080
 57.3 63.2 94.5 119.8 120.4 128.9 1.02790 1.20364 1.25378 1.35516
 58.0 63.0 94.8 119.5 120.8 129.0 1.03797 1.18893 1.24295 1.36832
 58.6 62.8 95.2 119.1 121.3 129.1 1.05007 1.17361 1.23013 1.38020
 59.2 62.7 95.6 118.8 121.8 129.2 1.06386 1.15787 1.21547 1.39071
 59.9 62.6 96.1 118.4 122.4 129.2 1.07897 1.14193 1.19915 1.39979
 60.5 62.6 96.7 117.9 123.0 129.3 1.09502 1.12604 1.18139 1.40739
 61.1 62.7 97.3 117.5 123.7 129.4 1.11045 1.11163 1.16241 1.41344
 61.7 62.7 98.0 117.0 124.4 129.5 1.09546 1.12846 1.14252 1.41793
 62.3 62.8 98.8 116.4 125.1 129.6 1.08138 1.12204 1.14518 1.42081
 62.9 63.0 99.6 115.8 125.9 129.6 1.06850 1.10133 1.16148 1.42207
 63.1 63.7 100.5 115.2 126.6 129.7 1.05715 1.08083 1.17709 1.42168
 63.2 64.4 101.5 114.5 127.4 129.7 1.04760 1.06100 1.19179 1.41964
 63.4 65.1 102.5 113.8 128.2 129.7 1.04012 1.04233 1.20535 1.41593
 63.6 65.9 103.6 113.1 129.1 129.7 1.02537 1.03492 1.21761 1.41054
 63.7 66.8 104.7 112.3 129.7 129.9 1.01062 1.03213 1.22842 1.40346
 63.9 67.7 105.9 111.5 129.7 130.7 0.99859 1.03184 1.23766 1.39469
 64.1 68.6 107.0 110.7 129.6 131.5 0.98971 1.03404 1.24524 1.38423
 64.3 69.6 108.2 109.8 129.5 132.3 0.98432 1.03866 1.25111 1.37211
 64.5 70.6 109.0 109.5 129.4 133.2 0.98262 1.04554 1.25523 1.35834
 64.8 71.7 108.1 110.6 129.2 133.9 0.98469 1.05447 1.25760 1.34297
 65.0 72.9 107.2 111.8 129.0 134.7 0.99042 1.06519 1.25823 1.32606
 65.2 74.0 106.4 112.9 128.8 135.5 0.99957 1.07742 1.25717 1.30769
 65.4 75.3 105.5 114.0 128.5 136.2 1.01179 1.09086 1.25448 1.28797
 65.7 76.6 104.7 115.0 128.2 136.8 1.02661 1.10518 1.25024 1.26704
 65.9 77.9 103.9 116.0 127.8 137.5 1.04352 1.12011 1.24455 1.24506
 66.2 79.3 103.2 116.9 127.5 138.0 1.06198 1.13534 1.22224 1.23752
 66.4 80.7 102.4 117.7 127.0 138.5 1.08147 1.15061 1.19880 1.22929
 66.7 82.2 101.8 118.5 126.6 139.0 1.10149 1.16567 1.17503 1.21999
 66.9 83.7 101.1 119.2 126.1 139.3 1.12156 1.15124 1.18031 1.20981
 67.2 85.2 100.5 119.8 125.5 139.6 1.12780 1.14128 1.19432 1.19891
 67.5 86.8 99.9 120.4 125.0 139.7 1.10510 1.16028 1.18751 1.20753
